Filename,Labels,cluster,Category
__yp53MzWqU.mp3,"Turkey,Fowl,Gobble",class_1,Animal Sounds
cafcrCF14nM.mp3,"Domestic animals, pets,Dog,Animal,Whimper (dog)",class_4,Animal Sounds
Mop0WkL-2EQ.mp3,"Goat,Animal",class_4,Animal Sounds
AiTG6T9pTcM.mp3,"Wild animals,Environmental noise,Speech,Animal",class_4,Animal Sounds
5Y-1he25j9E.mp3,"Snoring,Domestic animals, pets,Dog,Animal",class_4,Animal Sounds
AjmZCg_sYc8.mp3,"Wild animals,Squeal,Dog,Animal",class_4,Animal Sounds
5tM4bPM6E_w.mp3,"Cat,Purr,Music,Domestic animals, pets,Speech,Animal",class_4,Animal Sounds
D14QMp6dz0U.mp3,"Beep, bleep,Speech",class_9,Animal Sounds
BL6DESnl79Y.mp3,"Sheep,Bleat",class_4,Animal Sounds
AmDDp-cCo24.mp3,"Cat,Domestic animals, pets,Caterwaul,Speech,Animal",class_4,Animal Sounds
bKWc8u79cfg.mp3,"Cattle, bovinae,Cowbell,Moo,Livestock, farm animals, working animals",class_4,Animal Sounds
cAU5LJKl3HU.mp3,"Goat,Speech,Livestock, farm animals, working animals,Animal",class_4,Animal Sounds
N05DQOiWvdM.mp3,"Cat,Purr,Domestic animals, pets,Animal",class_4,Animal Sounds
BkjvDGA8_94.mp3,"Domestic animals, pets,Squeak,Howl,Dog,Animal",class_4,Animal Sounds
n0P4klG9TFE.mp3,"Bark,Domestic animals, pets,Dog,Animal",class_4,Animal Sounds
N24fo43ksp4.mp3,"Animal,Gush",class_4,Animal Sounds
bjGh2JOzcQE.mp3,"Cattle, bovinae,Moo,Livestock, farm animals, working animals",class_4,Animal Sounds
AC41T8MHStg.mp3,"Smoke detector, smoke alarm,Telephone dialing, DTMF,Beep, bleep,Speech",class_9,Animal Sounds
BiMI6fs8S6w.mp3,"Cupboard open or close,Domestic animals, pets,Dog,Animal",class_4,Animal Sounds
aNkOcOCm32s.mp3,"Domestic animals, pets,Howl,Dog,Animal",class_4,Animal Sounds
BhmoxAi9l84.mp3,"Horse,Clip-clop,Speech,Animal",class_4,Animal Sounds
aNmPy_PCO1I.mp3,"Cattle, bovinae,Moo,Livestock, farm animals, working animals",class_4,Animal Sounds
N5Lefsrt9UE.mp3,"Domestic animals, pets,Speech,Dog,Animal,Whimper (dog)",class_4,Animal Sounds
n0AtY_cAz04.mp3,"Cattle, bovinae,Moo,Livestock, farm animals, working animals",class_4,Animal Sounds
AKxm4V3OylU.mp3,"Wild animals,Roar,Roaring cats (lions, tigers),Animal",class_4,Animal Sounds
5UUgV7-Bg3c.mp3,"Canidae, dogs, wolves,Door,Sliding door,Domestic animals, pets,Speech,Dog,Animal",class_4,Animal Sounds
mtjUgt-IUV8.mp3,"Bark,Domestic animals, pets,Speech,Dog,Growling,Animal",class_4,Animal Sounds
eKGTLoYbU7U.mp3,"Cattle, bovinae,Moo,Livestock, farm animals, working animals",class_4,Animal Sounds
LKBfrBoO3Vc.mp3,"Wild animals,Music,Roaring cats (lions, tigers),Animal",class_4,Animal Sounds
LkOtCqBr7hA.mp3,"Domestic animals, pets,Bow-wow,Dog,Growling",class_4,Animal Sounds
EIo9yMo1bzc.mp3,"Horse,Neigh, whinny,Speech,Animal",class_4,Animal Sounds
LL3MRwcLj0g.mp3,"Goat,Speech,Livestock, farm animals, working animals,Animal",class_4,Animal Sounds
eHEeJkkMnhs.mp3,"Wild animals,Roar,Speech,Roaring cats (lions, tigers),Animal",class_4,Animal Sounds
